"","time","P1eu"
"1",2018-01-01 02:00:00,314.69
"2",2018-01-01 03:00:00,354.95
"3",2018-01-01 04:00:00,383.09
"4",2018-01-01 05:00:00,341.63
"5",2018-01-01 06:00:00,372.15
"6",2018-01-01 07:00:00,388.95
"7",2018-01-01 08:00:00,367.56
"8",2018-01-01 09:00:00,307.84
"9",2018-01-01 10:00:00,407.59
"10",2018-01-01 11:00:00,NA
"11",2018-01-01 12:00:00,247.54
"12",2018-01-01 13:00:00,157.22
"13",2018-01-01 14:00:00,134.57
"14",2018-01-01 15:00:00,70.53
"15",2018-01-01 16:00:00,48.89
"16",2018-01-01 17:00:00,87.97
"17",2018-01-01 18:00:00,105.15
"18",2018-01-01 19:00:00,115.77
"19",2018-01-01 20:00:00,129.42
"20",2018-01-01 21:00:00,139.64
"21",2018-01-01 22:00:00,163.17
"22",2018-01-01 23:00:00,182.87
"23",2018-01-02 00:00:00,188.88
"24",2018-01-02 01:00:00,190.93
"25",2018-01-02 02:00:00,167.32
"26",2018-01-02 03:00:00,177.21
"27",2018-01-02 04:00:00,201.29
"28",2018-01-02 05:00:00,178.19
"29",2018-01-02 06:00:00,166.58
"30",2018-01-02 07:00:00,124.58
"31",2018-01-02 08:00:00,80.53
"32",2018-01-02 09:00:00,103.07
"33",2018-01-02 10:00:00,101.73
"34",2018-01-02 11:00:00,NA
"35",2018-01-02 12:00:00,64.1
"36",2018-01-02 13:00:00,55.32
"37",2018-01-02 14:00:00,80.47
"38",2018-01-02 15:00:00,82.63
"39",2018-01-02 16:00:00,69.85
"40",2018-01-02 17:00:00,60.02
"41",2018-01-02 18:00:00,62.57
"42",2018-01-02 19:00:00,57.15
"43",2018-01-02 20:00:00,60.93
"44",2018-01-02 21:00:00,58.07
"45",2018-01-02 22:00:00,35.3
"46",2018-01-02 23:00:00,9.64
"47",2018-01-03 00:00:00,13.73
"48",2018-01-03 01:00:00,10.3
"49",2018-01-03 02:00:00,3.6
"50",2018-01-03 03:00:00,4
"51",2018-01-03 04:00:00,2.74
"52",2018-01-03 05:00:00,2.59
"53",2018-01-03 06:00:00,2.74
"54",2018-01-03 07:00:00,2.86
"55",2018-01-03 08:00:00,4.02
"56",2018-01-03 09:00:00,5.07
"57",2018-01-03 10:00:00,7.31
"58",2018-01-03 11:00:00,NA
"59",2018-01-03 12:00:00,8.99
"60",2018-01-03 13:00:00,9.5
"61",2018-01-03 14:00:00,11.78
"62",2018-01-03 15:00:00,12.86
"63",2018-01-03 16:00:00,13.34
"64",2018-01-03 17:00:00,15.68
"65",2018-01-03 18:00:00,42.29
"66",2018-01-03 19:00:00,44.86
"67",2018-01-03 20:00:00,41.39
"68",2018-01-03 21:00:00,57.27
"69",2018-01-03 22:00:00,54.4
"70",2018-01-03 23:00:00,64.89
"71",2018-01-04 00:00:00,86.25
"72",2018-01-04 01:00:00,124.86
"73",2018-01-04 02:00:00,111.91
"74",2018-01-04 03:00:00,97.97
"75",2018-01-04 04:00:00,14.46
"76",2018-01-04 05:00:00,11.71
"77",2018-01-04 06:00:00,17.49
"78",2018-01-04 07:00:00,24.39
"79",2018-01-04 08:00:00,29.86
"80",2018-01-04 09:00:00,39.63
"81",2018-01-04 10:00:00,16.99
"82",2018-01-04 11:00:00,NA
"83",2018-01-04 12:00:00,13.81
"84",2018-01-04 13:00:00,11.72
"85",2018-01-04 14:00:00,12.33
"86",2018-01-04 15:00:00,18.32
"87",2018-01-04 16:00:00,14.63
"88",2018-01-04 17:00:00,19.1
"89",2018-01-04 18:00:00,19.88
"90",2018-01-04 19:00:00,15.49
"91",2018-01-04 20:00:00,17.05
"92",2018-01-04 21:00:00,22.2
"93",2018-01-04 22:00:00,20.66
"94",2018-01-04 23:00:00,22.06
"95",2018-01-05 00:00:00,42.59
"96",2018-01-05 01:00:00,58.7
"97",2018-01-05 02:00:00,54.39
"98",2018-01-05 03:00:00,46.68
"99",2018-01-05 04:00:00,44.63
"100",2018-01-05 05:00:00,54.99
"101",2018-01-05 06:00:00,84.52
"102",2018-01-05 07:00:00,90.81
"103",2018-01-05 08:00:00,80.7
"104",2018-01-05 09:00:00,84.86
"105",2018-01-05 10:00:00,79.86
"106",2018-01-05 11:00:00,NA
"107",2018-01-05 12:00:00,130.93
"108",2018-01-05 13:00:00,92.22
"109",2018-01-05 14:00:00,82.02
"110",2018-01-05 15:00:00,72.84
"111",2018-01-05 16:00:00,89.87
"112",2018-01-05 17:00:00,104.47
"113",2018-01-05 18:00:00,55.24
"114",2018-01-05 19:00:00,59.32
"115",2018-01-05 20:00:00,112.25
